ODOMETRY 1.2490457724 0.01 0
SENSOR 1 15.1932044783 1.61922272363
SENSOR 33 19.007974092 1.08602357578
SENSOR 46 11.951043786 1.76312597205
ODOMETRY 0.0430437949534 6.3379824058 0
SENSOR 1 9.35207718849 1.61922272363
SENSOR 33 12.6849500789 1.08602357578
SENSOR 46 6.47661895285 1.76312597205
ODOMETRY -0.0117139630676 5.80727663722 0
SENSOR 1 5.22090181911 1.61922272363
SENSOR 33 6.90569832283 1.08602357578
SENSOR 34 16.2577719078 0.926283766895
SENSOR 46 4.54320999708 1.76312597205
ODOMETRY 0.197514123687 5.30352142176 0
SENSOR 1 4.67942159033 1.61922272363
SENSOR 2 15.6782663409 1.42447506703
SENSOR 33 2.5571846994 1.08602357578
SENSOR 34 12.2116303852 0.926283766895
SENSOR 46 7.12026199567 1.76312597205
ODOMETRY -0.1778352634 6.23875401892 0
SENSOR 1 9.81610822539 1.61922272363
SENSOR 2 9.80798354724 1.42447506703
SENSOR 33 5.04311431953 1.08602357578
SENSOR 34 8.20287049887 0.926283766895
SENSOR 46 12.9230746325 1.76312597205
ODOMETRY 0.0421325925034 5.6157090924 0
SENSOR 1 15.103085385 1.61922272363
SENSOR 2 5.11927143666 1.42447506703
SENSOR 3 18.9928678585 1.40640462011
SENSOR 33 10.4836392404 1.08602357578
SENSOR 34 7.98445253789 0.926283766895
SENSOR 46 18.3436885131 1.76312597205
ODOMETRY 0.077276943303 6.55914569175 0
SENSOR 2 4.53821883104 1.42447506703
SENSOR 3 12.5465693013 1.40640462011
SENSOR 33 17.0247098085 1.08602357578
SENSOR 34 12.1269445249 0.926283766895
ODOMETRY -0.0419505187478 4.43047063779 0
SENSOR 2 8.17214015257 1.42447506703
SENSOR 3 8.36235913823 1.40640462011
SENSOR 34 15.7864459043 0.926283766895
ODOMETRY 0.0124677840341 6.30335174933 0
SENSOR 2 14.1284692558 1.42447506703
SENSOR 3 3.54923078016 1.40640462011
SENSOR 4 16.8570864031 1.40010198372
ODOMETRY -0.00350246541029 5.63437553772 0
SENSOR 2 19.6403916557 1.42447506703
SENSOR 3 5.36098996082 1.40640462011
SENSOR 4 11.3765737205 1.40010198372
ODOMETRY -0.0147324564561 7.79112688856 0
SENSOR 3 12.506220134 1.40640462011
SENSOR 4 4.56252492651 1.40010198372
SENSOR 5 17.8480838113 1.39275650549
SENSOR 35 19.9732990088 1.43913547215
ODOMETRY -0.0469820110789 7.20517648219 0
SENSOR 3 19.6086049159 1.40640462011
SENSOR 4 5.54584922113 1.40010198372
SENSOR 5 10.9576623191 1.39275650549
SENSOR 35 13.5770088688 1.43913547215
SENSOR 36 19.7074695646 1.59883016066
ODOMETRY 0.0135516442248 8.4052881032 0
SENSOR 4 13.1436561547 1.40010198372
SENSOR 5 4.33868372289 1.39275650549
SENSOR 6 18.463603487 1.38706693768
SENSOR 35 7.96890794859 1.43913547215
SENSOR 36 18.3364956021 1.59883016066
ODOMETRY 0.00597811924862 9.07254484114 0
SENSOR 5 8.22692679781 1.39275650549
SENSOR 6 9.84990199701 1.38706693768
SENSOR 35 9.53139424645 1.43913547215
ODOMETRY 0.0751609197001 7.63000768844 0
SENSOR 5 15.211862244 1.39275650549
SENSOR 6 3.86178190966 1.38706693768
SENSOR 7 16.0075721368 1.38549547548
SENSOR 35 15.2505120938 1.43913547215
ODOMETRY -0.0439415205474 8.45971211357 0
SENSOR 6 7.91462822867 1.38706693768
SENSOR 7 7.99413350389 1.38549547548
ODOMETRY -0.0239902917832 8.21195563997 0
SENSOR 6 15.7245596845 1.38706693768
SENSOR 7 3.94483177378 1.38549547548
SENSOR 8 15.5615233051 1.38436903084
ODOMETRY 0.017622252067 9.85335030175 0
SENSOR 7 11.5864307032 1.38549547548
SENSOR 8 6.517413205 1.38436903084
SENSOR 9 19.5919442056 1.38385482302
ODOMETRY 0.0644044499105 8.78485751358 0
SENSOR 7 19.9777130341 1.38549547548
SENSOR 8 4.89244914335 1.38436903084
SENSOR 9 10.9720873776 1.38385482302
ODOMETRY -0.0445525584094 8.1368403276 0
SENSOR 8 12.1240008778 1.38436903084
SENSOR 9 4.03361044692 1.38385482302
SENSOR 10 18.6933948147 1.38270767391
ODOMETRY -0.0277594697208 8.51670540892 0
SENSOR 9 7.12026394045 1.38385482302
SENSOR 10 10.4576684908 1.38270767391
ODOMETRY -0.0648056821438 9.59008963307 0
SENSOR 9 16.3409710371 1.38385482302
SENSOR 10 4.18058401502 1.38270767391
SENSOR 11 15.1230809013 1.38135080316
ODOMETRY 0.123011641613 7.89770308874 0
SENSOR 10 8.47451436555 1.38270767391
SENSOR 11 7.63834850704 1.38135080316
ODOMETRY -0.026525330296 9.34107640316 0
SENSOR 10 17.2952272044 1.38270767391
SENSOR 11 4.42801377341 1.38135080316
SENSOR 12 13.829833299 1.38095155999
ODOMETRY 0.0722526346226 6.77396255873 0
SENSOR 11 9.85287818956 1.38135080316
SENSOR 12 7.246744747 1.38095155999
ODOMETRY -0.116095332836 7.04725551056 0
SENSOR 11 16.7439724976 1.38135080316
SENSOR 12 3.17188720486 1.38095155999
SENSOR 13 14.1152210549 1.38056998873
ODOMETRY -0.0134444487631 8.1384466438 0
SENSOR 12 9.23607614976 1.38095155999
SENSOR 13 6.61233932125 1.38056998873
SENSOR 38 15.4100628721 1.42233253419
SENSOR 47 14.2311518214 1.32713661616
ODOMETRY 0.0995900357528 7.84791803052 0
SENSOR 12 16.6665216961 1.38095155999
SENSOR 13 3.72584858436 1.38056998873
SENSOR 14 16.9380601808 1.37935607148
